ageband,year,pop,rate,ratelow,rateupp,deaths,people,percent
20-24,2006,Total,64.92,55.67,74.18,189,291120,0.000649217
25-29,2006,Total,65.55,55.73,75.38,171,260860,0.000655524
30-34,2006,Total,76.18,66.06,86.29,218,286180,0.000761758
35-39,2006,Total,97.26,86.33,108.19,304,312560,0.000972613
40-44,2006,Total,135.16,122.47,147.85,436,322580,0.001351603
45-49,2006,Total,222.21,205.48,238.93,678,305120,0.002222077
50-54,2006,Total,330.34,308.4,352.28,871,263670,0.003303372
55-59,2006,Total,517.09,488.47,545.71,1254,242510,0.005170921
60-64,2006,Total,828.93,787.7,870.16,1553,187350,0.008289298
65-69,2006,Total,1315.72,1258.72,1372.72,2047,155580,0.013157218
70-74,2006,Total,2256.51,2171.6,2341.42,2713,120230,0.022565084
75-79,2006,Total,3718.75,3601.33,3836.18,3853,103610,0.03718753
80+,2006,Total,10308.33,10135.13,10481.54,13607,132000,0.103083333
Total,2007,Total,443.04,437.67,448.4,28833,4226210,0.006822425
00-04,2007,Total,301.97,282.07,321.86,885,293080,0.003019653
05-09,2007,Total,13.02,8.88,17.16,38,291860,0.000130199
10-14,2007,Total,17.63,12.93,22.33,54,306310,0.000176292
15-19,2007,Total,55.91,47.67,64.15,177,316570,0.000559118
20-24,2007,Total,73.13,63.28,82.97,212,289910,0.000731261
25-29,2007,Total,61.1,51.69,70.51,162,265150,0.000610975
30-34,2007,Total,78.96,68.53,89.4,220,278610,0.000789634
35-39,2007,Total,106.57,95.17,117.96,336,315300,0.001065652
40-44,2007,Total,145.64,132.4,158.87,465,319290,0.001456356
45-49,2007,Total,205.12,189.25,220.99,642,312990,0.002051184
50-54,2007,Total,323.02,301.61,344.44,874,270570,0.003230218
55-59,2007,Total,504.04,475.85,532.23,1228,243630,0.00504043
60-64,2007,Total,773.7,734.95,812.44,1532,198010,0.007736983
65-69,2007,Total,1269.14,1214.39,1323.89,2064,162630,0.012691385
70-74,2007,Total,2148.29,2066.11,2230.48,2625,122190,0.021482936
75-79,2007,Total,3600.62,3485.29,3715.94,3745,104010,0.036006153
80+,2007,Total,9973.55,9805.76,10141.33,13574,136100,0.099735489
Total,2008,Total,444.49,439.19,449.8,29739,4262020,0.006977677
00-04,2008,Total,289.36,270.14,308.58,871,301010,0.002893592
05-09,2008,Total,12.71,8.61,16.81,37,291110,0.0001271
10-14,2008,Total,16.15,11.63,20.67,49,303440,0.000161482
15-19,2008,Total,62.12,53.45,70.8,197,317120,0.000621216
20-24,2008,Total,72.91,63.07,82.74,211,289410,0.000729069
25-29,2008,Total,64.64,55.04,74.25,174,269170,0.000646432
30-34,2008,Total,69.07,59.2,78.95,188,272180,0.000690719
